stock,sector,sub.sector
OMN,BasicIndustries,Advertising
RKDA,BasicIndustries,AgriculturalChemicals
MBII,BasicIndustries,AgriculturalChemicals
RTK,BasicIndustries,AgriculturalChemicals
AGU,BasicIndustries,AgriculturalChemicals
AVD,BasicIndustries,AgriculturalChemicals
CF,BasicIndustries,AgriculturalChemicals
CGA,BasicIndustries,AgriculturalChemicals
UAN,BasicIndustries,AgriculturalChemicals
MON,BasicIndustries,AgriculturalChemicals
MOS,BasicIndustries,AgriculturalChemicals
POT,BasicIndustries,AgriculturalChemicals
RNF,BasicIndustries,AgriculturalChemicals
SMG,BasicIndustries,AgriculturalChemicals
SYT,BasicIndustries,AgriculturalChemicals
TNH,BasicIndustries,AgriculturalChemicals
CENX,BasicIndustries,Aluminum
ACH,BasicIndustries,Aluminum
MBLX,BasicIndustries,ContainersPackaging
CVA,BasicIndustries,ElectricUtilities_Central
AES,BasicIndustries,ElectricUtilities_Central
CADC,BasicIndustries,Engineering_Construction
LAYN,BasicIndustries,Engineering_Construction
LIME,BasicIndustries,Engineering_Construction
MTRX,BasicIndustries,Engineering_Construction
SCTY,BasicIndustries,Engineering_Construction
AMRC,BasicIndustries,Engineering_Construction
AGX,BasicIndustries,Engineering_Construction
CBI,BasicIndustries,Engineering_Construction
FRM,BasicIndustries,Engineering_Construction
BPMX,BasicIndustries,Engineering_Construction
PESI,BasicIndustries,EnvironmentalServices
SMED,BasicIndustries,EnvironmentalServices
SRCL,BasicIndustries,EnvironmentalServices
CLH,BasicIndustries,EnvironmentalServices
AMWD,BasicIndustries,ForestProducts
PATK,BasicIndustries,ForestProducts
UFPI,BasicIndustries,ForestProducts
DEL,BasicIndustries,ForestProducts
EVA,BasicIndustries,ForestProducts
KOP,BasicIndustries,ForestProducts
LPX,BasicIndustries,ForestProducts
MAS,BasicIndustries,ForestProducts
DOOR,BasicIndustries,ForestProducts
PGEM,BasicIndustries,ForestProducts
TREX,BasicIndustries,ForestProducts
TPC,BasicIndustries,GeneralBldgContractors_Nonresidential_Bldgs
CVCO,BasicIndustries,Homebuilding
CHLN,BasicIndustries,Homebuilding
FBHS,BasicIndustries,Homebuilding
GFA,BasicIndustries,Homebuilding
IBP,BasicIndustries,Homebuilding
LEN,BasicIndustries,Homebuilding
XIN,BasicIndustries,Homebuilding
FUL,BasicIndustries,HomeFurnishings
SHLM,BasicIndustries,MajorChemicals
AMTX,BasicIndustries,MajorChemicals
AMRS,BasicIndustries,MajorChemicals
BCPC,BasicIndustries,MajorChemicals
CDXS,BasicIndustries,MajorChemicals
GEVO,BasicIndustries,MajorChemicals
GPP,BasicIndustries,MajorChemicals
GPRE,BasicIndustries,MajorChemicals
GURE,BasicIndustries,MajorChemicals
HYGS,BasicIndustries,MajorChemicals
IOSP,BasicIndustries,MajorChemicals
LNDC,BasicIndustries,MajorChemicals
MEOH,BasicIndustries,MajorChemicals
PEIX,BasicIndustries,MajorChemicals
REGI,BasicIndustries,MajorChemicals
SZYM,BasicIndustries,MajorChemicals
SYMX,BasicIndustries,MajorChemicals
TANH,BasicIndustries,MajorChemicals
TORM,BasicIndustries,MajorChemicals
WDFC,BasicIndustries,MajorChemicals
APD,BasicIndustries,MajorChemicals
ALB,BasicIndustries,MajorChemicals
AXLL,BasicIndustries,MajorChemicals
BIOA,BasicIndustries,MajorChemicals
BAK,BasicIndustries,MajorChemicals
CBT,BasicIndustries,MajorChemicals
CCC,BasicIndustries,MajorChemicals
CE,BasicIndustries,MajorChemicals
CC,BasicIndustries,MajorChemicals
CHMT,BasicIndustries,MajorChemicals
DOW,BasicIndustries,MajorChemicals
DD,BasicIndustries,MajorChemicals
EMN,BasicIndustries,MajorChemicals
FTK,BasicIndustries,MajorChemicals
FMC,BasicIndustries,MajorChemicals
FF,BasicIndustries,MajorChemicals
HXL,BasicIndustries,MajorChemicals
HUN,BasicIndustries,MajorChemicals
IFF,BasicIndustries,MajorChemicals
KMG,BasicIndustries,MajorChemicals
KRA,BasicIndustries,MajorChemicals
KRO,BasicIndustries,MajorChemicals
LXU,BasicIndustries,MajorChemicals
LXFR,BasicIndustries,MajorChemicals
LYB,BasicIndustries,MajorChemicals
MTX,BasicIndustries,MajorChemicals
NEU,BasicIndustries,MajorChemicals
NL,BasicIndustries,MajorChemicals
OCIP,BasicIndustries,MajorChemicals
OLN,BasicIndustries,MajorChemicals
OEC,BasicIndustries,MajorChemicals
POL,BasicIndustries,MajorChemicals
PX,BasicIndustries,MajorChemicals
KWR,BasicIndustries,MajorChemicals
RYAM,BasicIndustries,MajorChemicals
REX,BasicIndustries,MajorChemicals
ROG,BasicIndustries,MajorChemicals
SEE,BasicIndustries,MajorChemicals
SXT,BasicIndustries,MajorChemicals
SHI,BasicIndustries,MajorChemicals
TSE,BasicIndustries,MajorChemicals
VHI,BasicIndustries,MajorChemicals
GRA,BasicIndustries,MajorChemicals
WLK,BasicIndustries,MajorChemicals
WLKP,BasicIndustries,MajorChemicals
FSI,BasicIndustries,MajorChemicals
GRH,BasicIndustries,MajorChemicals
ERS,BasicIndustries,MetalFabrications
FSTR,BasicIndustries,MetalFabrications
ZEUS,BasicIndustries,MetalFabrications
CAS,BasicIndustries,MetalFabrications
CSTM,BasicIndustries,MetalFabrications
NPO,BasicIndustries,MetalFabrications
RS,BasicIndustries,MetalFabrications
RYI,BasicIndustries,MetalFabrications
GLDD,BasicIndustries,Military_Government_Technical
STRL,BasicIndustries,Military_Government_Technical
ICA,BasicIndustries,Military_Government_Technical
FLR,BasicIndustries,Military_Government_Technical
GRAM,BasicIndustries,Military_Government_Technical
GVA,BasicIndustries,Military_Government_Technical
JEC,BasicIndustries,Military_Government_Technical
KBR,BasicIndustries,Military_Government_Technical
ORN,BasicIndustries,Military_Government_Technical
USLM,BasicIndustries,Mining_Quarrying_ofNonmetallicMinerals
CINR,BasicIndustries,Mining_Quarrying_ofNonmetallicMinerals
CMP,BasicIndustries,Mining_Quarrying_ofNonmetallicMinerals
FMSA,BasicIndustries,Mining_Quarrying_ofNonmetallicMinerals
HL,BasicIndustries,Mining_Quarrying_ofNonmetallicMinerals
HCLP,BasicIndustries,Mining_Quarrying_ofNonmetallicMinerals
IPI,BasicIndustries,Mining_Quarrying_ofNonmetallicMinerals
MLM,BasicIndustries,Mining_Quarrying_ofNonmetallicMinerals
MDU,BasicIndustries,Mining_Quarrying_ofNonmetallicMinerals
SQM,BasicIndustries,Mining_Quarrying_ofNonmetallicMinerals
SUM,BasicIndustries,Mining_Quarrying_ofNonmetallicMinerals
TCK,BasicIndustries,Mining_Quarrying_ofNonmetallicMinerals
SLCA,BasicIndustries,Mining_Quarrying_ofNonmetallicMinerals
VMC,BasicIndustries,Mining_Quarrying_ofNonmetallicMinerals
AKG,BasicIndustries,Mining_Quarrying_ofNonmetallicMinerals
XRA,BasicIndustries,Mining_Quarrying_ofNonmetallicMinerals
GSV,BasicIndustries,Mining_Quarrying_ofNonmetallicMinerals
HCCI,BasicIndustries,Miscellaneous
IDSA,BasicIndustries,Miscellaneous
AMRK,BasicIndustries,OtherSpecialtyStores
SWSH,BasicIndustries,Package_Goods_Cosmetics
CHD,BasicIndustries,Package_Goods_Cosmetics
ECL,BasicIndustries,Package_Goods_Cosmetics
PG,BasicIndustries,Package_Goods_Cosmetics
SCL,BasicIndustries,Package_Goods_Cosmetics
AXTA,BasicIndustries,Paints_Coatings
FOE,BasicIndustries,Paints_Coatings
PPG,BasicIndustries,Paints_Coatings
RPM,BasicIndustries,Paints_Coatings
VAL,BasicIndustries,Paints_Coatings
MERC,BasicIndustries,Paper
CLW,BasicIndustries,Paper
UFS,BasicIndustries,Paper
FBR,BasicIndustries,Paper
GLT,BasicIndustries,Paper
IP,BasicIndustries,Paper
KS,BasicIndustries,Paper
NP,BasicIndustries,Paper
RFP,BasicIndustries,Paper
SWM,BasicIndustries,Paper
TIS,BasicIndustries,Paper
CHNR,BasicIndustries,PreciousMetals
MDM,BasicIndustries,PreciousMetals
PAAS,BasicIndustries,PreciousMetals
PGLC,BasicIndustries,PreciousMetals
GOLD,BasicIndustries,PreciousMetals
RGLD,BasicIndustries,PreciousMetals
SSRI,BasicIndustries,PreciousMetals
URRE,BasicIndustries,PreciousMetals
AEM,BasicIndustries,PreciousMetals
AU,BasicIndustries,PreciousMetals
ABX,BasicIndustries,PreciousMetals
BHP,BasicIndustries,PreciousMetals
BVN,BasicIndustries,PreciousMetals
CCJ,BasicIndustries,PreciousMetals
CLF,BasicIndustries,PreciousMetals
CDE,BasicIndustries,PreciousMetals
DDC,BasicIndustries,PreciousMetals
DRD,BasicIndustries,PreciousMetals
EGO,BasicIndustries,PreciousMetals
EXK,BasicIndustries,PreciousMetals
FCX,BasicIndustries,PreciousMetals
GFI,BasicIndustries,PreciousMetals
GG,BasicIndustries,PreciousMetals
HMY,BasicIndustries,PreciousMetals
IAG,BasicIndustries,PreciousMetals
KGC,BasicIndustries,PreciousMetals
MUX,BasicIndustries,PreciousMetals
MSB,BasicIndustries,PreciousMetals
NEM,BasicIndustries,PreciousMetals
